epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7715,3.04009,25.8801,1.31375,0.09221,0.10638,0.04451,0.01251,1.59097,15.1761,0.65789,0.000663781,0.000663781,0.000663781
2,115.419,3.34154,9.88288,1.36815,0.11111,0.17021,0.05958,0.01857,1.62123,1.92516,0.67074,0.00131728,0.00131728,0.00131728
3,221.603,3.33802,4.43031,1.36232,0.28624,0.10638,0.11004,0.02901,1.7316,1.90959,0.6793,0.00195757,0.00195757,0.00195757
4,298.54,3.2794,3.40201,1.34317,0.29298,0.20213,0.15722,0.04553,1.58538,4.5417,0.64277,0.0019406,0.0019406,0.0019406
5,376.055,3.23186,3.00314,1.3465,0.27682,0.18085,0.09531,0.02511,1.86246,1.98921,0.65859,0.0019208,0.0019208,0.0019208
6,456.98,3.07709,2.89152,1.26761,0.378,0.2766,0.2005,0.05795,1.59866,4.22369,0.6528,0.001901,0.001901,0.001901
7,537.075,3.07899,2.76543,1.27058,0.39696,0.23113,0.21332,0.07724,1.53791,2.7486,0.62126,0.0018812,0.0018812,0.0018812
8,616.388,2.9672,2.54939,1.24534,0.32193,0.31915,0.20542,0.06034,1.49625,15.7091,0.59817,0.0018614,0.0018614,0.0018614
9,695.268,2.79446,2.38013,1.18631,0.57144,0.35106,0.32844,0.10968,1.58391,2.77493,0.59133,0.0018416,0.0018416,0.0018416
10,775.303,2.84509,2.42157,1.18666,0.41959,0.34043,0.26956,0.07166,1.62801,1.6225,0.65128,0.0018218,0.0018218,0.0018218
11,854.55,2.91596,2.4171,1.2716,0.31043,0.38298,0.25845,0.08439,1.42808,1.72489,0.5899,0.001802,0.001802,0.001802
12,934.03,2.82688,2.27952,1.20105,0.35262,0.3617,0.26958,0.09887,1.39942,1.6435,0.60659,0.0017822,0.0017822,0.0017822
13,1013.1,2.76182,2.22002,1.19266,0.5225,0.42553,0.42937,0.16573,1.41368,2.03935,0.58535,0.0017624,0.0017624,0.0017624
14,1092.98,2.68467,2.11473,1.17407,0.59637,0.41489,0.42834,0.16837,1.33492,1.56235,0.58405,0.0017426,0.0017426,0.0017426
15,1172.48,2.77261,2.17244,1.16767,0.41441,0.3617,0.33519,0.11927,1.32986,1.65942,0.57197,0.0017228,0.0017228,0.0017228
16,1251.77,2.73867,2.10107,1.17335,0.51255,0.44681,0.44453,0.15376,1.43603,1.84329,0.57813,0.001703,0.001703,0.001703
17,1330.93,2.67248,2.07568,1.1454,0.59523,0.34043,0.37953,0.15169,1.37872,1.49279,0.581,0.0016832,0.0016832,0.0016832
18,1410.48,2.59457,1.98299,1.12455,0.50782,0.39362,0.37397,0.13826,1.22166,1.44775,0.54659,0.0016634,0.0016634,0.0016634
19,1489.49,2.6171,1.96693,1.12697,0.53584,0.40426,0.41743,0.16163,1.32279,1.78069,0.56913,0.0016436,0.0016436,0.0016436
20,1568.95,2.61485,1.968,1.12959,0.72944,0.41489,0.46352,0.18588,1.37666,1.42564,0.56629,0.0016238,0.0016238,0.0016238
21,1647.92,2.54283,1.89198,1.13358,0.58491,0.38298,0.4107,0.15356,1.4168,2.31447,0.59392,0.001604,0.001604,0.001604
22,1728.07,2.53842,1.9741,1.11363,0.53636,0.43617,0.43962,0.1857,1.31432,1.65342,0.56476,0.0015842,0.0015842,0.0015842
23,1806.88,2.58824,1.89325,1.12503,0.66539,0.38298,0.45828,0.1714,1.33338,1.22938,0.56443,0.0015644,0.0015644,0.0015644
24,1885.66,2.49388,1.83274,1.12001,0.52781,0.38056,0.37344,0.15394,1.38147,1.67839,0.5765,0.0015446,0.0015446,0.0015446
25,1964.55,2.53319,1.82756,1.11785,0.59848,0.40426,0.4689,0.19275,1.35922,1.8946,0.57159,0.0015248,0.0015248,0.0015248
26,2044.5,2.44704,1.75225,1.10958,0.58219,0.3617,0.43817,0.18654,1.24873,1.62185,0.55096,0.001505,0.001505,0.001505
27,2123.57,2.45835,1.76563,1.08823,0.51732,0.41489,0.42796,0.16471,1.22095,2.12951,0.55183,0.0014852,0.0014852,0.0014852
28,2203.07,2.48333,1.8201,1.12053,0.77001,0.43617,0.52201,0.23137,1.29356,1.55513,0.55847,0.0014654,0.0014654,0.0014654
29,2282.29,2.43405,1.70646,1.09563,0.54697,0.46809,0.49894,0.19438,1.29308,1.31545,0.57086,0.0014456,0.0014456,0.0014456
30,2361.87,2.44161,1.70236,1.11134,0.66047,0.3617,0.448,0.16691,1.29941,1.32353,0.55714,0.0014258,0.0014258,0.0014258
31,2441.3,2.44835,1.73661,1.06265,0.5901,0.46809,0.49791,0.22102,1.25769,1.41748,0.55636,0.001406,0.001406,0.001406
32,2520.24,2.39139,1.67196,1.09209,0.5396,0.45745,0.47861,0.17636,1.33672,1.93397,0.55651,0.0013862,0.0013862,0.0013862
33,2599.26,2.37644,1.6741,1.12204,0.7459,0.39362,0.4929,0.17641,1.38125,1.75637,0.57687,0.0013664,0.0013664,0.0013664
34,2678.88,2.40738,1.68842,1.06907,0.64491,0.55319,0.55477,0.21918,1.26536,1.30985,0.54309,0.0013466,0.0013466,0.0013466
35,2758.3,2.39857,1.66658,1.07387,0.75074,0.5,0.57317,0.23516,1.14364,1.31987,0.53117,0.0013268,0.0013268,0.0013268
36,2837.55,2.36676,1.66855,1.09794,0.70424,0.48133,0.53928,0.22915,1.21061,1.08448,0.54906,0.001307,0.001307,0.001307
37,2916.24,2.32327,1.61536,1.03346,0.65094,0.43645,0.43131,0.15108,1.27597,1.31833,0.56977,0.0012872,0.0012872,0.0012872
38,2995.65,2.28968,1.54325,1.04726,0.57715,0.55319,0.56628,0.24271,1.18646,1.65972,0.54319,0.0012674,0.0012674,0.0012674
39,3075.59,2.38884,1.55863,1.08819,0.61156,0.45745,0.47971,0.17752,1.32612,1.53199,0.55934,0.0012476,0.0012476,0.0012476
40,3154.86,2.38479,1.5657,1.08053,0.65561,0.44556,0.4994,0.21468,1.21416,1.41818,0.56395,0.0012278,0.0012278,0.0012278
41,3233.92,2.32352,1.55111,1.06908,0.67822,0.48936,0.55467,0.24516,1.17221,1.32532,0.54378,0.001208,0.001208,0.001208
42,3313.33,2.33474,1.55234,1.08377,0.6203,0.47872,0.50941,0.18679,1.21717,1.1965,0.5441,0.0011882,0.0011882,0.0011882
43,3393.25,2.28642,1.57114,1.03394,0.66208,0.57447,0.58724,0.25243,1.10834,1.21556,0.53201,0.0011684,0.0011684,0.0011684
44,3473.05,2.25233,1.51474,1.06515,0.62297,0.53191,0.57037,0.24572,1.13426,1.91614,0.53144,0.0011486,0.0011486,0.0011486
