epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4454.95,2.2818,1.47389,0.00331,0.61297,0.47179,0.52342,0.20801,1.23154,1.03753,0.00232,0.0011882,0.0011882,0.0011882
43,4558.94,2.32039,1.51121,0.00327,0.81288,0.51064,0.60403,0.24135,1.13548,0.95311,0.00204,0.0011684,0.0011684,0.0011684
44,4664.04,2.20196,1.43757,0.00322,0.79648,0.47872,0.59765,0.27857,1.08609,0.97268,0.00203,0.0011486,0.0011486,0.0011486
45,4770.08,2.24094,1.46794,0.00325,0.72939,0.54255,0.62068,0.27661,1.14609,0.99279,0.00212,0.0011288,0.0011288,0.0011288
46,4873.91,2.16301,1.46255,0.00309,0.6418,0.51064,0.57686,0.26417,1.12481,1.15438,0.00209,0.001109,0.001109,0.001109
47,4979.44,2.20312,1.43041,0.0031,0.83668,0.51064,0.64499,0.28524,1.05363,0.98782,0.00188,0.0010892,0.0010892,0.0010892
48,5084.76,2.16799,1.40529,0.00308,0.82408,0.52128,0.64791,0.28864,1.11974,0.95153,0.002,0.0010694,0.0010694,0.0010694
49,5189.59,2.19818,1.41501,0.00314,0.65369,0.5,0.57581,0.24661,1.15674,1.03032,0.00213,0.0010496,0.0010496,0.0010496
50,5295.46,2.17164,1.37377,0.00302,0.68571,0.59574,0.66108,0.30212,1.15013,0.87778,0.00213,0.0010298,0.0010298,0.0010298
51,5401.14,2.17521,1.3605,0.00306,0.59696,0.53577,0.57945,0.27416,1.18737,0.97362,0.00208,0.00101,0.00101,0.00101
52,5504.83,2.13044,1.29629,0.00306,0.71471,0.58511,0.64664,0.30894,1.1651,0.90278,0.00207,0.0009902,0.0009902,0.0009902
53,5610.4,2.22344,1.41715,0.0031,0.71214,0.54255,0.61564,0.27275,1.15688,0.86272,0.00208,0.0009704,0.0009704,0.0009704
54,5716.12,2.1584,1.30068,0.00304,0.74141,0.57955,0.65136,0.31319,1.13665,0.87494,0.00201,0.0009506,0.0009506,0.0009506
55,5820.82,2.15136,1.36228,0.00305,0.77089,0.51064,0.61465,0.29159,1.22138,0.91368,0.00214,0.0009308,0.0009308,0.0009308
56,5926.17,2.11347,1.26136,0.00293,0.88043,0.5,0.64149,0.3211,1.14964,0.82842,0.00212,0.000911,0.000911,0.000911
57,6031.96,2.16442,1.30766,0.00314,0.82894,0.51558,0.63442,0.30115,1.22375,0.89214,0.00217,0.0008912,0.0008912,0.0008912
58,6135.79,2.04741,1.29955,0.00296,0.82379,0.54711,0.64391,0.32325,1.08667,0.90168,0.00194,0.0008714,0.0008714,0.0008714
59,6240.99,2.16549,1.27693,0.00301,0.86258,0.53422,0.64507,0.31499,1.17388,0.89425,0.00208,0.0008516,0.0008516,0.0008516
60,6346.55,2.1445,1.32266,0.00286,0.79913,0.56383,0.6389,0.30625,1.21663,0.98646,0.00208,0.0008318,0.0008318,0.0008318
61,6449.9,2.08992,1.26341,0.00287,0.70689,0.61702,0.66538,0.32186,1.17763,0.85582,0.00208,0.000812,0.000812,0.000812
62,6555.1,2.10406,1.25988,0.00291,0.8284,0.5136,0.65543,0.32643,1.11307,0.88686,0.00205,0.0007922,0.0007922,0.0007922
63,6660.65,2.11517,1.20181,0.00292,0.74053,0.6383,0.6882,0.32724,1.09722,0.9405,0.00205,0.0007724,0.0007724,0.0007724
64,6765.59,2.03244,1.1908,0.00285,0.8019,0.59574,0.66031,0.30472,1.17564,0.93054,0.0021,0.0007526,0.0007526,0.0007526
65,6870.67,2.06287,1.23384,0.00279,0.85184,0.52128,0.64032,0.3061,1.09636,0.97214,0.00197,0.0007328,0.0007328,0.0007328
66,6975.96,2.03658,1.22842,0.00272,0.87168,0.54255,0.68245,0.31377,1.14049,0.87879,0.00212,0.000713,0.000713,0.000713
67,7065.58,2.03804,1.20769,0.00282,0.78378,0.54255,0.65856,0.31617,1.16365,0.89485,0.00221,0.0006932,0.0006932,0.0006932
68,7170.94,2.07024,1.21704,0.00273,0.69376,0.58511,0.64665,0.33466,1.11286,0.88607,0.00193,0.0006734,0.0006734,0.0006734
69,7275.3,2.05767,1.19031,0.00272,0.72029,0.6383,0.67173,0.34056,1.11545,0.83601,0.00202,0.0006536,0.0006536,0.0006536
70,7381.99,1.99743,1.17328,0.00291,0.82816,0.60638,0.68513,0.36685,1.10106,0.83607,0.002,0.0006338,0.0006338,0.0006338
71,7487.43,2.00816,1.17071,0.00275,0.68134,0.67021,0.6814,0.34552,1.16882,0.85862,0.00215,0.000614,0.000614,0.000614
72,7591.37,1.98576,1.11605,0.00262,0.7608,0.60638,0.64368,0.32039,1.18203,0.86164,0.00218,0.0005942,0.0005942,0.0005942
73,7695.65,1.98343,1.09065,0.00264,0.8601,0.58866,0.66888,0.33302,1.15401,0.85154,0.00215,0.0005744,0.0005744,0.0005744
74,7800.94,1.91851,1.09596,0.00259,0.8101,0.52128,0.63493,0.33752,1.11456,0.86493,0.00207,0.0005546,0.0005546,0.0005546
75,7854.04,1.98355,1.13949,0.00275,0.77284,0.54255,0.63889,0.31838,1.14075,0.81083,0.00213,0.0005348,0.0005348,0.0005348
76,7902.38,1.99813,1.14715,0.00275,0.84392,0.51773,0.63737,0.33194,1.15292,0.91439,0.00214,0.000515,0.000515,0.000515
77,7950.68,1.93051,1.10345,0.00266,0.71965,0.60638,0.64383,0.31845,1.15189,0.91263,0.00209,0.0004952,0.0004952,0.0004952
78,7998.74,1.9664,1.09272,0.00267,0.70592,0.58511,0.63783,0.31087,1.1439,0.91382,0.00214,0.0004754,0.0004754,0.0004754
79,8047.04,1.96403,1.05493,0.00266,0.71738,0.6383,0.65508,0.31259,1.15154,0.89531,0.0021,0.0004556,0.0004556,0.0004556
